	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_00001	18397	16186	15079	20666	16547	17066	13147	10290	10220	18194	12241	18235	14829	16801	12633	5981	6847	4231
STN4L_00002	43041	36773	35151	38186	30809	29657	34262	25997	30289	40411	29582	35121	31175	32814	28207	26268	24412	19560
STN4L_00003	209	151	317	387	297	278	739	410	601	484	429	302	444	464	420	490	478	438
STN4L_00004	3516	2898	2971	4026	3276	3247	4588	3278	4417	3470	2788	3127	2749	3737	2919	3967	3694	3106
STN4L_00005	3424	2730	2247	3167	2471	2392	3387	2635	3792	2688	1798	2397	2171	2542	2179	2927	2653	2380
STN4L_00006	6603	6916	6409	7110	6321	5826	5957	4492	5205	8451	6944	8590	5752	5950	5590	3863	3709	3018
STN4L_00007	8623	8649	7741	8190	7623	6606	5512	4756	4862	10783	8466	10862	6156	6748	6043	3566	3599	2878
STN4L_00008	8550	8281	6351	6404	5854	5058	4701	4198	4343	9114	7660	9581	5318	5863	4900	3114	3278	2857
STN4L_00009	8990	8326	7748	7231	6599	6134	5757	4613	5021	11321	9697	10867	5606	6584	5674	3328	3521	3415
STN4L_00010	14031	12295	12120	10562	9418	9010	7560	6011	6951	15806	12193	14860	7634	9776	8255	5095	5466	4622
STN4L_00011	4001	3174	3508	3941	2775	2385	3069	2112	2303	3226	3298	2583	2722	3125	3351	2084	2243	2207
STN4L_00012	1533	1405	1139	1188	956	910	965	827	846	1194	936	960	976	1026	897	662	697	550
STN4L_00013	6260	4957	6020	5666	4512	4593	5448	4196	4605	5968	5013	4936	5031	5278	4776	3653	4117	3177
STN4L_00014	11634	7072	8821	13665	9243	8966	15942	11366	16314	8113	5460	5831	9620	11473	9766	15974	13977	16069
STN4L_00015	48	50	39	53	43	38	40	49	34	63	65	47	53	40	51	28	30	25
STN4L_00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00017	135	117	149	182	132	120	155	101	108	174	150	190	134	146	133	103	112	111
